|Month|hour|COLLISIONS|
|12   |6   |451       |
|12   |7   |564       |
|12   |8   |1,038     |
|12   |9   |1,001     |
|12   |10  |974       |
|12   |11  |1,029     |
|12   |12  |1,090     |
|12   |13  |1,161     |
|12   |14  |1,338     |
|12   |15  |1,190     |
|12   |16  |1,342     |
|12   |17  |1,495     |
|12   |18  |1,355     |
|12   |19  |1,029     |
|12   |20  |853       |
|12   |21  |656       |
|12   |22  |595       |
|12   |23  |502       |
